Country Code,Ranking,,Economy,Millions USD,
USA,1,,United States,23315081,
CHN,2,,China,17734063,
JPN,3,,Japan,4940878,
DEU,4,,Germany,4259935,
IND,5,,India,3176295,
GBR,6,,United Kingdom,3131378,
FRA,7,,France,2957880,
ITA,8,,Italy,2107703,
CAN,9,,Canada,1988336,
KOR,10,,"Korea, Rep.",1810956,
RUS,11,,Russian Federation,1778783,
BRA,12,,Brazil,1608981,
AUS,13,,Australia,1552667,
ESP,14,,Spain,1427381,
MEX,15,,Mexico,1272839,
IDN,16,,Indonesia,1186093,
NLD,17,,Netherlands,1012847,
SAU,18,,Saudi Arabia,833541,
TUR,19,,Türkiye,819035,
CHE,20,,Switzerland,800640,
POL,21,,Poland,679445,
SWE,22,,Sweden,635664,
BEL,23,,Belgium,594104,
THA,24,,Thailand,505947,
IRL,25,,Ireland,504183,
ISR,26,,Israel,488527,
ARG,27,,Argentina,487227,
NOR,28,,Norway,482175,
AUT,29,,Austria,480368,
NGA,30,,Nigeria,440834,
ZAF,31,,South Africa,419015,
BGD,32,,Bangladesh,416265,
ARE,33,,United Arab Emirates,415022,
EGY,34,,"Egypt, Arab Rep.",404143,
DNK,35,,Denmark,398303,
SGP,36,,Singapore,396987,
PHL,37,,Philippines,394086,
MYS,38,,Malaysia,372981,
HKG,39,,"Hong Kong SAR, China",369176,
VNM,40,,Vietnam,366138,
IRN,41,,"Iran, Islamic Rep.",359713,
PAK,42,,Pakistan,348263,
CHL,43,,Chile,317059,
COL,44,,Colombia,314464,
FIN,45,,Finland,297302,
ROU,46,,Romania,284088,
CZE,47,,Czech Republic,281778,
PRT,48,,Portugal,253663,
NZL,49,,New Zealand,249886,
PER,50,,Peru,223249,
GRC,51,,Greece,214874,
IRQ,52,,Iraq,207889,
UKR,53,,Ukraine,200086,
KAZ,54,,Kazakhstan,197112,
HUN,55,,Hungary,181848,
QAT,56,,Qatar,179677,a
DZA,57,,Algeria,163044,
MAR,58,,Morocco,142866,
SVK,59,,Slovak Republic,116527,
ETH,60,,Ethiopia,111271,
KEN,61,,Kenya,110347,b
CUB,62,,Cuba,107352,
PRI,63,,Puerto Rico,106526,
ECU,64,,Ecuador,106166,
KWT,65,,Kuwait,105960,
DOM,66,,Dominican Republic,94243,
LKA,67,,Sri Lanka,88927,
OMN,68,,Oman,88192,
GTM,69,,Guatemala,85986,
LUX,70,,Luxembourg,85506,
BGR,71,,Bulgaria,84056,
GHA,72,,Ghana,77594,
CIV,73,,Côte d'Ivoire,70043,
UZB,74,,Uzbekistan,69239,
HRV,75,,Croatia,68955,
BLR,76,,Belarus,68205,
TZA,77,,Tanzania,67841,
AGO,78,,Angola,67404,
LTU,79,,Lithuania,66445,
MMR,80,,Myanmar,65092,c
CRI,81,,Costa Rica,64282,
PAN,82,,Panama,63605,
SRB,83,,Serbia,63082,
SVN,84,,Slovenia,61749,
URY,85,,Uruguay,59319,
COD,86,,"Congo, Dem. Rep.",55351,
AZE,87,,Azerbaijan,54622,
TUN,88,,Tunisia,46687,
JOR,89,,Jordan,45744,
CMR,90,,Cameroon,45338,
TKM,91,,Turkmenistan,45231,
LBY,92,,Libya,42817,
UGA,93,,Uganda,40530,
BOL,94,,Bolivia,40408,
LVA,95,,Latvia,39854,
PRY,96,,Paraguay,39495,
BHR,97,,Bahrain,38869,
EST,98,,Estonia,37191,
NPL,99,,Nepal,36289,
SDN,100,,Sudan,34326,
MAC,101,,"Macao SAR, China",30124,
SLV,102,,El Salvador,28737,
HND,103,,Honduras,28489,
CYP,104,,Cyprus,28408,
ZWE,105,,Zimbabwe,28371,
SEN,106,,Senegal,27625,
KHM,107,,Cambodia,26961,d
PNG,108,,Papua New Guinea,26594,
ISL,109,,Iceland,25602,
TTO,110,,Trinidad and Tobago,24460,
BIH,111,,Bosnia and Herzegovina,23365,
LBN,112,,Lebanon,23132,
ZMB,113,,Zambia,22148,
HTI,114,,Haiti,20944,
GAB,115,,Gabon,20217,
BFA,116,,Burkina Faso,19738,
MLI,117,,Mali,19140,
LAO,118,,Lao PDR,18827,
GEO,119,,Georgia,18629,
ALB,120,,Albania,18256,
PSE,121,,West Bank and Gaza,18037,
BWA,122,,Botswana,17615,e
MLT,123,,Malta,17364,
BEN,124,,Benin,17145,
GIN,125,,Guinea,16092,
MOZ,126,,Mozambique,15777,
MNG,127,,Mongolia,15286,
NER,128,,Niger,14915,
AFG,129,,Afghanistan,14787,
JAM,130,,Jamaica,14658,
MDG,131,,Madagascar,14473,
NIC,132,,Nicaragua,14013,
BRN,133,,Brunei Darussalam,14007,
ARM,134,,Armenia,13861,
MKD,135,,North Macedonia,13825,
MDA,136,,Moldova,13679,
COG,137,,"Congo, Rep.",13366,
MWI,138,,Malawi,12627,
NAM,139,,Namibia,12311,f
GNQ,140,,Equatorial Guinea,12269,
TCD,141,,Chad,11780,
MUS,142,,Mauritius,11529,
BHS,143,,"Bahamas, The",11209,
SYR,144,,Syrian Arab Republic,11080,
RWA,145,,Rwanda,11070,
NCL,146,,New Caledonia,10071,
MRT,147,,Mauritania,9996,
XKX,148,,Kosovo,9412,
TJK,149,,Tajikistan,8746,
MCO,150,,Monaco,8596,
KGZ,151,,Kyrgyz Republic,8543,
TGO,152,,Togo,8413,
GUY,153,,Guyana,8044,
SOM,154,,Somalia,7628,
IMN,155,,Isle of Man,7315,
BMU,156,,Bermuda,7287,
GUM,157,,Guam,6123,
LIE,158,,Liechtenstein,6114,
PYF,159,,French Polynesia,6055,
CYM,160,,Cayman Islands,5898,
MNE,161,,Montenegro,5861,
MDV,162,,Maldives,5406,
BRB,163,,Barbados,4844,
SWZ,164,,Eswatini,4743,
FJI,165,,Fiji,4296,
VIR,166,,Virgin Islands (U.S.),4204,
SLE,167,,Sierra Leone,4042,
FRO,168,,Faroe Islands,3650,
TLS,169,,Timor-Leste,3621,
LBR,170,,Liberia,3509,
DJI,171,,Djibouti,3483,
AND,172,,Andorra,3330,
ABW,173,,Aruba,3126,
GRL,174,,Greenland,3076,
SUR,175,,Suriname,2985,
BDI,176,,Burundi,2780,
CUW,177,,Curaçao,2700,
BTN,178,,Bhutan,2540,
CAF,179,,Central African Republic,2516,
LSO,180,,Lesotho,2496,
BLZ,181,,Belize,2492,
GMB,182,,"Gambia, The",2038,
CPV,183,,Cabo Verde,1936,
LCA,184,,St. Lucia,1691,
GNB,185,,Guinea-Bissau,1639,
SLB,186,,Solomon Islands,1631,
SMR,187,,San Marino,1541,
ATG,188,,Antigua and Barbuda,1471,
SYC,189,,Seychelles,1454,
COM,190,,Comoros,1296,
MNP,191,,Northern Mariana Islands,1182,
GRD,192,,Grenada,1123,
VUT,193,,Vanuatu,956,
TCA,194,,Turks and Caicos Islands,943,
VCT,195,,St. Vincent and the Grenadines,904,
KNA,196,,St. Kitts and Nevis,861,
WSM,197,,Samoa,844,
ASM,198,,American Samoa,709,
DMA,199,,Dominica,554,
STP,200,,São Tomé and Principe,527,
TON,201,,Tonga,469,
FSM,202,,"Micronesia, Fed. Sts.",404,
MHL,203,,Marshall Islands,260,
PLW,204,,Palau,218,
KIR,205,,Kiribati,207,
NRU,206,,Nauru,133,
TUV,207,,Tuvalu,63,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World,96513077,
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific,30911686,
ECS,,,Europe & Central Asia,25082834,
LCN,,,Latin America & Caribbean,5454429,
MEA,,,Middle East & North Africa,3676799,
NAC,,,North America,25310703,
SAS,,,South Asia,4088771,
SSF,,,Sub-Saharan Africa,1920899,
LIC,,,Low income,506017,
LMC,,,Lower middle income,8742535,
UMC,,,Upper middle income,27104087,
HIC,,,High income,59829674,
,,,,,
,".. Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2020 or 2019.
a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
